vendor_name,total_expenditure,tx_count,mp_count,constituency_count,district_count
BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA,25624543.0,92,1,1,1
shivam construction Sures chandra yadav,25540357.0,18,1,1,1
Assistant Engineer Buxar,25422135.0,29,1,1,1
Sri Vaari Total Gaz Distributors,25379479.0,32,1,1,1
N Balakrishna,25107860.0,12,1,1,2
Lakshya Contruction,25040235.0,61,2,4,3
DAD INCORPORATION,24966096.0,6,2,4,2
CHANCH PRO ENGINEERS,24799200.0,86,2,2,2
MP State Agro Balaghat,24739133.0,103,1,1,1
RAK INDUSTRIES,24731901.0,37,1,1,2
Rudra Enterprises,24718693.0,40,1,2,1
AFZAL AHMAD CONTRACTOR,24579992.0,38,2,2,2
LAVKUSH CONSTRUCTION,24550602.0,55,1,1,2
MAA KALI BUILDERS,24497424.0,21,2,3,2
PENTASTAR POWERCON PVT LTD,24490923.0,50,1,1,1
BITU RAY,24480000.0,48,1,2,2
Kerala ELectrical and Allied Engineering,24358605.0,77,4,5,3
AYODHYA ENTERPRISES,24325073.0,26,2,2,2
GOURI KRISHI BHANDER,24300000.0,3,1,1,1
ASSISTANT ENGINEER FATUHA,24164946.0,29,1,1,1
ASST ENGINEER LAEO WD 1 BEGUSARAI VSK BEGUSARAI,24117279.0,25,1,1,1
R CHANDRASEKARAN,23993953.0,32,1,1,1
PATHAN FURQAN ABDULLA KHAN,23974230.0,9,1,1,1
LITTLE GENIUS AGENCIES,23959014.0,48,1,3,1
MANU KUMAR,23940000.0,36,1,2,2
k b construction,23918694.0,12,1,3,1
BAIDYA NATH GHOSH,23851012.0,4,1,1,1
ARUN KUMAR DAS,23818093.0,61,1,1,1
SK JAHANGIR,23788582.0,39,1,2,1
ARUP GHOSH,23731050.0,60,1,1,1
Masti ram,23698858.0,85,1,1,2
Vikram Enterprises,23550000.0,3,1,1,1
SUNTA DEVI,23543108.0,25,1,1,1
Priti Infratech,23489952.0,15,1,1,1
DPS PUBLISHING HOUSE,23381514.0,12,2,3,3
K P CONSTRUCTIONS,23306773.0,23,1,1,1
NOONE NAGESH,23293396.0,79,1,1,1
aastha construction,23194068.0,129,1,1,1
CODS CONSTRUCTIONS,23179584.0,4,1,1,1
MP STATE AGRO VIDISHA,22912194.0,12,1,1,1
NIRMITHI KENDRA BANGALORE RURAL DISTRICT,22884106.0,51,1,1,1
ARJUN KUMAR BAURI,22801425.0,46,2,2,2
GRAMONNATI,22793880.0,30,1,1,1
Alka Agarwal,22746207.0,68,1,1,2
AHTESHAM CONTRACTOR,22728417.0,24,1,1,1
SHIV SHARAN,22726900.0,23,2,3,2
Soumen Adhikary,22645378.0,6,1,1,1
MR CONSTRUCTION,22636770.0,130,1,1,1
MADHUMITA MANDAL,22500657.0,12,1,2,1
ASSISTANT ENGINEER DINARA LAEO WORKS DIV 02 BIKRAMGANJ ROHTAS,22460991.0,25,1,1,1
PRAGATHI CONSTRUCITONS,22303292.0,7,1,2,1
